nomem_encr,cf19l_m,cf19l390,cf19l391,cf19l392,cf19l393,cf19l394,cf19l395,cf19l396,cf19l397
53973,201909,4,4,3,08-09-2019,11:47:21,08-09-2019,11:54:08,407
53973,201909,1,1,5,02-09-2019,21:57:07,02-09-2019,22:13:10,963
53974,201909,4,4,4,23-09-2019,18:41:31,23-09-2019,18:45:24,233
53975,201909,4,5,5,04-09-2019,11:21:30,04-09-2019,11:26:22,292
53975,201909,1,3,4,13-09-2019,19:53:32,13-09-2019,19:58:18,286
53977,201909,4,5,5,11-09-2019,16:15:39,11-09-2019,16:19:30,231
53981,201909,3,4,5,03-09-2019,09:56:10,03-09-2019,09:57:21,71
53981,201909,3,5,5,11-09-2019,11:29:04,11-09-2019,11:34:44,340
53985,201909,1,1,1,02-09-2019,18:57:04,02-09-2019,19:30:45,2021
53986,201910,4,3,3,29-10-2019,18:17:20,29-10-2019,22:50:47,16407
53988,201910,4,4,4,25-10-2019,14:24:45,25-10-2019,14:34:20,575
53988,201909,4,4,4,02-09-2019,13:04:38,02-09-2019,13:16:54,736
53992,201909,4,4,4,08-09-2019,21:35:04,08-09-2019,21:42:14,430
53992,201909,4,4,3,04-09-2019,16:20:28,04-09-2019,16:35:25,897
53993,201909,5,4,4,16-09-2019,11:09:38,16-09-2019,11:14:23,285
53993,201910,3,4,4,29-10-2019,23:06:39,29-10-2019,23:14:17,458
53995,201909,3,3,3,09-09-2019,11:57:15,09-09-2019,12:06:46,571
53996,201909,4,4,4,07-09-2019,15:01:52,07-09-2019,15:20:37,1125
53999,201909,3,5,5,05-09-2019,19:19:47,05-09-2019,19:45:09,1522
54000,201909,2,2,2,08-09-2019,14:43:22,08-09-2019,17:06:18,8576
54001,201909,4,4,4,02-09-2019,19:31:50,02-09-2019,19:34:58,188
54002,201910,3,3,3,28-10-2019,20:47:05,28-10-2019,20:56:36,571
54004,201909,4,4,4,13-09-2019,14:43:07,13-09-2019,14:46:05,178
54004,201909,5,5,5,07-09-2019,16:44:02,07-09-2019,16:51:46,464
54005,201909,1,5,5,16-09-2019,16:22:22,16-09-2019,16:28:46,384
54005,201909,3,4,4,10-09-2019,13:57:18,10-09-2019,14:00:34,196
54006,201909,1,3,3,18-09-2019,17:35:45,18-09-2019,17:41:44,359
54006,201909,3,3,3,02-09-2019,17:06:52,02-09-2019,17:08:46,114
54008,201909,3,3,3,02-09-2019,14:53:41,02-09-2019,14:56:37,176
54010,201909,4,5,4,02-09-2019,14:00:15,02-09-2019,15:46:04,6349
54011,201909,3,3,3,02-09-2019,17:10:52,02-09-2019,17:19:41,529
54011,201909,4,4,4,18-09-2019,09:55:00,18-09-2019,09:59:46,286
54012,201909,3,3,3,04-09-2019,09:49:38,04-09-2019,09:54:50,312
54012,201909,1,1,5,02-09-2019,15:05:32,02-09-2019,15:15:19,587
54013,201909,2,2,1,02-09-2019,15:05:20,02-09-2019,15:14:46,566
54014,201909,3,4,3,17-09-2019,15:49:04,17-09-2019,16:00:17,673
54014,201909,1,5,5,14-09-2019,11:52:41,14-09-2019,11:58:39,358
54014,201909,4,2,1,03-09-2019,08:30:12,03-09-2019,08:34:34,262
54015,201910,2,3,3,07-10-2019,12:47:23,07-10-2019,12:53:07,344
54019,201909,3,3,3,18-09-2019,15:34:39,18-09-2019,15:36:26,107
54019,201909,3,4,4,04-09-2019,12:10:15,04-09-2019,12:17:10,415
54020,201910,4,4,4,21-10-2019,21:07:17,21-10-2019,21:15:39,502
54023,201909,5,5,5,24-09-2019,20:36:37,24-09-2019,20:44:42,485
54027,201909,5,4,4,22-09-2019,20:49:06,22-09-2019,20:53:10,244
54027,201909,5,5,5,02-09-2019,13:30:26,02-09-2019,13:38:34,488
54030,201909,3,5,5,11-09-2019,21:11:31,11-09-2019,21:14:48,197
54033,201909,4,5,4,02-09-2019,13:45:10,02-09-2019,13:49:48,278
54033,201909,2,2,2,02-09-2019,12:47:38,02-09-2019,12:50:04,146
54033,201909,3,5,5,21-09-2019,10:31:25,21-09-2019,10:34:46,201
54034,201909,1,5,5,23-09-2019,11:15:22,23-09-2019,11:21:24,362
54035,201909,1,3,3,23-09-2019,09:09:47,23-09-2019,09:18:19,512
54037,201909,3,5,5,03-09-2019,12:44:41,03-09-2019,12:49:54,313
54038,201909,3,4,4,02-09-2019,15:31:57,02-09-2019,15:38:26,389
54040,201909,2,5,5,02-09-2019,12:10:07,02-09-2019,12:16:44,397
54042,201909,3,4,4,24-09-2019,16:37:55,24-09-2019,16:45:24,449
54045,201909,4,5,5,19-09-2019,18:01:58,19-09-2019,18:09:48,470
54047,201909,1,1,3,08-09-2019,12:59:56,08-09-2019,13:01:32,96
54050,201909,3,3,3,17-09-2019,16:15:34,17-09-2019,16:26:29,655
54051,201909,4,4,3,07-09-2019,18:37:02,07-09-2019,18:45:45,523
54061,201910,2,4,4,22-10-2019,13:07:44,22-10-2019,13:20:26,762
54061,201909,3,3,3,11-09-2019,17:48:22,11-09-2019,17:49:24,62
54062,201910,3,4,3,27-10-2019,09:28:19,27-10-2019,09:38:31,612
54063,201909,2,3,3,22-09-2019,19:58:03,22-09-2019,20:03:24,321
54064,201909,3,2,2,14-09-2019,16:45:31,14-09-2019,16:48:02,151
54065,201909,3,4,4,03-09-2019,14:58:43,03-09-2019,15:02:38,235
54067,201909,4,3,3,23-09-2019,17:21:42,23-09-2019,17:27:47,365
54068,201909,4,4,4,10-09-2019,13:36:11,10-09-2019,13:39:48,217
54069,201910,3,3,3,10-10-2019,14:40:47,10-10-2019,14:46:01,314
54069,201909,3,3,3,02-09-2019,16:33:30,02-09-2019,16:38:37,307
54070,201909,3,3,3,05-09-2019,14:02:15,05-09-2019,14:04:21,126
54071,201909,2,3,3,23-09-2019,12:31:11,23-09-2019,12:35:57,286
54073,201909,5,5,5,08-09-2019,21:59:49,08-09-2019,22:10:05,616
54073,201909,5,5,5,03-09-2019,17:35:53,03-09-2019,17:39:44,231
54074,201910,3,3,3,21-10-2019,16:06:46,21-10-2019,16:09:47,181
54075,201909,5,4,4,21-09-2019,14:51:48,21-09-2019,15:03:35,707
54076,201909,1,4,4,10-09-2019,16:28:14,10-09-2019,16:32:07,233
54077,201909,5,4,5,06-09-2019,13:46:11,06-09-2019,13:53:45,454
54078,201910,5,5,5,29-10-2019,18:52:29,29-10-2019,18:57:46,317
54079,201909,5,5,5,04-09-2019,17:45:16,04-09-2019,17:52:42,446
54080,201910,2,4,4,12-10-2019,12:52:59,12-10-2019,13:05:59,780
54080,201909,2,5,5,10-09-2019,15:13:10,10-09-2019,15:18:35,325
54081,201909,5,5,5,07-09-2019,12:16:46,07-09-2019,15:18:52,10926
54082,201909,1,5,5,12-09-2019,08:13:08,12-09-2019,08:17:08,240
54084,201909,4,4,4,24-09-2019,09:45:16,24-09-2019,09:55:28,612
54084,201909,1,3,3,16-09-2019,13:05:45,16-09-2019,13:22:32,1007
54086,201909,3,4,4,03-09-2019,21:30:33,03-09-2019,21:39:24,531
54086,201909,4,4,4,11-09-2019,11:25:42,11-09-2019,11:30:01,259
54087,201909,1,3,3,21-09-2019,22:20:11,21-09-2019,22:31:00,649
54087,201909,1,1,1,07-09-2019,18:03:35,07-09-2019,18:05:22,107
54089,201909,3,4,4,22-09-2019,18:51:34,22-09-2019,18:58:07,393
54091,201909,4,5,5,19-09-2019,18:17:59,19-09-2019,18:23:34,335
54092,201909,3,3,3,02-09-2019,14:01:19,02-09-2019,14:09:18,479
54092,201909,4,5,5,03-09-2019,15:58:52,03-09-2019,16:05:21,389
54092,201910,1,5,5,22-10-2019,10:33:59,22-10-2019,10:39:03,304
54093,201909,3,5,5,17-09-2019,15:54:36,17-09-2019,15:59:09,273
54094,201909,1,5,5,02-09-2019,17:44:56,02-09-2019,17:46:47,111
54096,201910,3,3,2,23-10-2019,00:53:24,23-10-2019,01:05:16,712
54096,201909,5,5,5,03-09-2019,19:41:11,03-09-2019,19:46:16,305
54097,201910,4,4,3,28-10-2019,20:03:00,28-10-2019,20:12:55,595
54100,201909,3,3,3,18-09-2019,13:58:52,18-09-2019,14:01:32,160
54101,201909,3,2,2,24-09-2019,16:58:12,24-09-2019,17:13:17,905
54102,201909,3,3,3,10-09-2019,08:05:07,10-09-2019,08:09:27,260
54102,201910,3,4,3,23-10-2019,17:15:12,23-10-2019,17:18:27,195
54104,201909,2,3,4,23-09-2019,17:10:04,23-09-2019,17:15:22,318
54105,201909,5,5,5,24-09-2019,14:27:37,24-09-2019,14:36:12,515
54106,201909,2,3,3,03-09-2019,12:53:33,03-09-2019,13:00:43,430
54106,201909,4,5,3,21-09-2019,14:10:55,21-09-2019,14:24:26,811
54107,201909,3,4,4,02-09-2019,18:26:47,02-09-2019,18:34:51,484
54107,201909,1,3,3,19-09-2019,09:59:46,19-09-2019,10:08:16,510
54107,201909,2,3,2,04-09-2019,21:09:59,04-09-2019,21:21:20,681
54108,201909,3,3,3,22-09-2019,13:44:14,22-09-2019,13:55:05,651
54110,201909,3,3,3,24-09-2019,22:37:43,24-09-2019,22:43:22,339
54112,201909,4,4,4,11-09-2019,11:03:58,11-09-2019,11:09:15,317
54115,201909,4,4,4,22-09-2019,16:18:44,22-09-2019,17:07:56,2952
54116,201909,2,2,2,07-09-2019,13:40:00,07-09-2019,13:48:02,482
54116,201909,4,4,5,17-09-2019,14:09:23,17-09-2019,14:13:45,262
54117,201909,4,4,4,04-09-2019,16:23:39,08-09-2019,15:48:37,343498
54118,201909,2,4,1,24-09-2019,09:09:27,24-09-2019,09:21:51,744
54118,201909,2,3,3,23-09-2019,09:12:34,23-09-2019,09:18:34,360
54120,201909,4,5,5,19-09-2019,10:29:56,19-09-2019,10:41:30,694
54120,201909,4,4,5,02-09-2019,17:13:35,02-09-2019,17:20:52,437
54125,201909,4,5,5,15-09-2019,07:51:01,15-09-2019,08:00:29,568
54125,201909,3,5,5,03-09-2019,10:20:55,03-09-2019,10:22:39,104
54125,201909,4,4,5,02-09-2019,12:22:44,02-09-2019,12:25:03,139
54126,201909,5,5,5,24-09-2019,09:00:45,24-09-2019,09:04:28,223
54130,201909,1,5,5,11-09-2019,09:48:18,11-09-2019,09:55:30,432
54132,201909,4,4,5,08-09-2019,14:38:40,08-09-2019,14:41:57,197
54133,201909,2,5,5,07-09-2019,15:22:05,07-09-2019,15:26:34,269
54134,201909,3,5,5,08-09-2019,19:13:38,08-09-2019,19:21:56,498
54134,201909,3,5,5,03-09-2019,08:50:20,03-09-2019,08:56:18,358
54135,201909,3,3,3,11-09-2019,11:55:10,11-09-2019,12:02:01,411
54136,201909,3,3,3,03-09-2019,09:57:57,03-09-2019,10:03:20,323
54137,201909,1,5,5,18-09-2019,17:36:24,18-09-2019,17:41:44,320
54138,201909,1,4,5,07-09-2019,14:21:15,07-09-2019,14:24:21,186
54140,201909,4,4,4,18-09-2019,16:10:32,18-09-2019,16:12:45,133
54142,201909,3,3,3,22-09-2019,00:21:54,22-09-2019,00:23:27,93
54144,201909,1,3,3,06-09-2019,17:22:01,06-09-2019,17:28:27,386
54145,201909,2,3,3,02-09-2019,22:53:20,02-09-2019,22:58:29,309
54145,201909,5,5,5,02-09-2019,14:14:36,02-09-2019,14:30:41,965
54145,201909,2,4,4,21-09-2019,14:59:41,21-09-2019,15:03:02,201
54145,201909,4,5,4,14-09-2019,11:20:03,14-09-2019,11:23:36,213
54146,201909,5,5,5,14-09-2019,20:44:52,14-09-2019,20:53:59,547
54149,201909,3,3,3,02-09-2019,17:37:51,02-09-2019,17:42:54,303
54150,201909,5,5,5,02-09-2019,13:23:58,02-09-2019,13:26:30,152
54151,201909,3,3,3,03-09-2019,21:23:41,03-09-2019,21:28:37,296
54151,201909,3,3,3,23-09-2019,16:05:35,23-09-2019,16:12:42,427
54153,201909,1,3,3,19-09-2019,15:52:12,19-09-2019,15:57:54,342
54154,201909,5,5,5,08-09-2019,12:59:34,08-09-2019,13:02:20,166
54158,201909,2,3,3,20-09-2019,09:18:39,20-09-2019,09:21:12,153
54160,201909,3,3,3,16-09-2019,21:44:27,16-09-2019,21:58:57,870
54160,201909,5,5,5,23-09-2019,19:19:55,23-09-2019,19:32:44,769
54161,201909,1,5,5,23-09-2019,21:50:21,23-09-2019,21:54:49,268
54164,201909,1,3,2,20-09-2019,15:38:30,20-09-2019,15:55:17,1007
54165,201909,3,4,4,22-09-2019,22:52:22,22-09-2019,22:54:54,152
54165,201910,4,4,4,27-10-2019,15:57:33,27-10-2019,16:01:02,209
54165,201909,2,3,3,23-09-2019,14:30:07,23-09-2019,14:34:11,244
54167,201910,1,5,5,17-10-2019,11:03:33,17-10-2019,11:10:13,400
54168,201909,1,5,5,04-09-2019,19:34:01,04-09-2019,19:38:24,263
54168,201909,3,3,4,03-09-2019,18:57:02,03-09-2019,19:03:40,398
54169,201909,4,4,4,16-09-2019,19:38:40,16-09-2019,19:44:10,330
54169,201910,4,4,3,23-10-2019,21:45:15,23-10-2019,22:14:38,1763
54170,201910,4,4,4,27-10-2019,16:32:13,27-10-2019,16:51:45,1172
54172,201910,3,3,3,29-10-2019,21:59:23,29-10-2019,22:13:51,868
54172,201909,5,5,5,14-09-2019,00:44:06,14-09-2019,01:28:31,2665
54173,201909,4,3,3,22-09-2019,20:38:51,22-09-2019,20:48:54,603
54174,201909,3,5,5,18-09-2019,18:18:57,18-09-2019,18:32:02,785
54175,201909,4,4,5,10-09-2019,19:23:38,10-09-2019,19:48:57,1519
54175,201909,3,3,3,09-09-2019,22:03:34,09-09-2019,22:04:48,74
54176,201909,4,4,5,05-09-2019,18:22:18,05-09-2019,18:29:25,427
54177,201909,5,5,5,24-09-2019,23:24:11,24-09-2019,23:34:56,645
54180,201909,2,4,4,03-09-2019,12:36:16,03-09-2019,12:42:06,350
54182,201909,4,4,4,02-09-2019,13:40:00,02-09-2019,13:45:12,312
54184,201909,3,5,5,08-09-2019,10:07:00,08-09-2019,10:11:02,242
54186,201909,3,3,3,23-09-2019,14:34:00,23-09-2019,14:40:02,362
54186,201909,3,3,3,17-09-2019,08:14:26,17-09-2019,08:17:40,194
54187,201910,3,3,3,25-10-2019,11:18:36,25-10-2019,11:28:28,592
54188,201909,3,3,3,09-09-2019,13:28:23,09-09-2019,13:42:47,864
54189,201910,3,2,3,29-10-2019,17:50:13,29-10-2019,17:57:54,461
54191,201909,4,5,5,02-09-2019,17:30:56,02-09-2019,17:35:20,264
54191,201909,3,3,3,16-09-2019,11:07:03,16-09-2019,11:13:14,371
54192,201909,3,3,3,16-09-2019,14:14:08,16-09-2019,14:25:53,705
54193,201909,4,3,5,03-09-2019,18:05:44,03-09-2019,18:11:14,330
54193,201909,1,5,5,02-09-2019,14:35:16,02-09-2019,14:39:33,257
54204,201910,3,4,4,12-10-2019,15:53:42,12-10-2019,15:59:03,321
54206,201909,3,3,4,16-09-2019,22:07:38,16-09-2019,22:15:16,458
54207,201909,4,4,3,04-09-2019,10:07:48,04-09-2019,10:13:49,361
54210,201909,4,3,3,02-09-2019,14:08:48,02-09-2019,14:16:54,486
54210,201909,1,3,3,03-09-2019,12:22:46,03-09-2019,12:27:45,299
54212,201909,5,5,5,02-09-2019,16:52:12,02-09-2019,16:58:35,383
54213,201909,4,4,4,04-09-2019,22:31:16,04-09-2019,22:36:23,307
54214,201909,4,4,4,03-09-2019,14:29:51,03-09-2019,14:33:45,234
54216,201909,1,5,5,20-09-2019,13:23:24,20-09-2019,13:37:44,860
54217,201909,3,4,4,10-09-2019,14:22:23,10-09-2019,14:30:19,476
54218,201909,3,3,3,16-09-2019,20:53:20,16-09-2019,21:02:19,539
54219,201909,3,3,3,02-09-2019,17:03:05,02-09-2019,17:05:00,115
54220,201909,4,3,2,16-09-2019,13:08:45,16-09-2019,13:15:30,405
54223,201909,2,3,3,09-09-2019,12:43:04,09-09-2019,12:57:25,861
54224,201909,1,3,3,16-09-2019,23:40:26,16-09-2019,23:48:18,472
54225,201909,4,5,5,03-09-2019,09:03:23,03-09-2019,09:07:52,269
54226,201909,5,5,5,12-09-2019,14:55:39,12-09-2019,15:04:59,560
54227,201909,1,5,5,04-09-2019,20:46:35,04-09-2019,20:55:00,505
54227,201909,5,5,5,16-09-2019,19:28:45,16-09-2019,19:34:14,329
54229,201909,3,3,3,23-09-2019,18:30:58,23-09-2019,18:35:13,255
54230,201909,4,4,3,17-09-2019,13:58:44,17-09-2019,14:05:41,417
54230,201909,3,3,3,03-09-2019,14:08:13,03-09-2019,14:16:52,519
54230,201909,3,5,5,17-09-2019,15:29:36,17-09-2019,15:45:52,976
54231,201910,3,3,3,28-10-2019,12:28:09,28-10-2019,12:29:10,61
54232,201909,5,4,4,15-09-2019,18:07:47,15-09-2019,18:16:19,512
54233,201909,4,4,3,16-09-2019,16:48:58,16-09-2019,16:52:59,241
54235,201910,4,5,5,22-10-2019,18:58:04,22-10-2019,19:06:26,502
54236,201909,2,3,3,03-09-2019,13:28:55,03-09-2019,13:36:58,483
54238,201910,3,5,5,14-10-2019,15:36:32,14-10-2019,15:47:38,666
54240,201909,3,3,4,06-09-2019,21:22:55,06-09-2019,21:26:35,220
54242,201909,5,5,5,11-09-2019,13:05:40,11-09-2019,13:13:49,489
54243,201909,2,3,3,05-09-2019,09:13:28,05-09-2019,09:24:05,637
54245,201909,5,5,5,20-09-2019,13:02:21,20-09-2019,13:11:08,527
54246,201909,4,4,4,23-09-2019,15:40:49,23-09-2019,15:54:18,809
54247,201909,2,2,2,23-09-2019,20:29:47,23-09-2019,20:37:55,488
54247,201909,5,5,5,21-09-2019,17:12:16,21-09-2019,17:18:08,352
54248,201909,1,3,3,07-09-2019,12:11:11,07-09-2019,12:18:51,460
54248,201909,1,5,5,10-09-2019,16:18:01,10-09-2019,16:22:17,256
54248,201909,1,3,3,23-09-2019,20:49:39,23-09-2019,20:58:18,519
54249,201909,4,5,5,24-09-2019,02:22:53,24-09-2019,02:25:46,173
54251,201909,3,3,3,02-09-2019,22:26:27,02-09-2019,22:38:04,697
54251,201910,4,4,4,23-10-2019,18:39:42,23-10-2019,18:51:07,685
54251,201909,3,3,3,23-09-2019,18:33:59,23-09-2019,18:57:41,1422
54252,201909,5,1,1,16-09-2019,22:52:18,16-09-2019,22:57:35,317
54254,201909,3,4,3,24-09-2019,19:59:19,24-09-2019,20:02:09,170
54255,201909,4,5,5,06-09-2019,18:36:21,06-09-2019,18:41:40,319
54257,201909,5,5,5,09-09-2019,11:25:23,09-09-2019,11:28:01,158
54257,201909,3,3,3,21-09-2019,19:56:37,21-09-2019,20:07:16,639
54258,201910,4,4,4,29-10-2019,23:13:54,29-10-2019,23:28:24,870
54259,201910,5,5,5,24-10-2019,21:23:49,24-10-2019,21:30:18,389
54259,201909,5,5,5,03-09-2019,19:33:02,03-09-2019,19:37:53,291
54260,201909,3,1,3,17-09-2019,16:45:25,17-09-2019,16:54:52,567
54261,201909,1,5,5,03-09-2019,15:56:25,03-09-2019,15:59:19,174
54263,201909,2,3,3,02-09-2019,19:15:13,02-09-2019,19:19:47,274
54266,201910,1,1,1,18-10-2019,20:10:09,18-10-2019,20:13:38,209
54266,201909,3,3,3,15-09-2019,01:09:20,15-09-2019,01:28:37,1157
54266,201909,5,5,5,19-09-2019,09:54:14,19-09-2019,09:55:04,50
54267,201909,3,3,3,02-09-2019,21:13:21,02-09-2019,21:16:15,174
54267,201910,3,4,4,22-10-2019,13:23:32,22-10-2019,13:31:51,499
54267,201909,3,3,3,04-09-2019,11:58:00,04-09-2019,12:04:42,402
54268,201909,5,4,5,13-09-2019,18:27:58,13-09-2019,18:33:43,345
54270,201909,3,3,3,09-09-2019,09:58:59,09-09-2019,10:06:55,476
54273,201909,5,5,5,02-09-2019,14:52:17,02-09-2019,15:00:29,492
54274,201910,3,5,5,07-10-2019,21:45:17,07-10-2019,21:54:34,557
54276,201909,3,4,5,02-09-2019,16:36:38,02-09-2019,16:42:47,369
54278,201909,3,3,3,18-09-2019,20:46:40,18-09-2019,20:54:18,458
54280,201909,5,5,5,02-09-2019,14:46:58,02-09-2019,14:52:13,315
